Artist	Signal	Category	Official Site	Bandcamp	Overview & Niche	USA Touring	Most Recent Release
Amasa Hines	Gnoosic ⭐⭐ 2x unprompted (ex.1, 3)	Soul / Indie Rock / Afro-Beat	https://www.amasahinesmusic.com	—	Seven-piece from Little Rock, AR. "Psychedelic afro-futurism" — Soul, Afro-Beat, Blues, Dub, and Indie Rock. Debut album All The World There Is (2014); EP Ivory Loving Glass (2018). SXSW and Newport Folk Festival appearances. Paste Magazine "12 Arkansas Bands You Should Be Listening to Now."	Yes — national touring; no active dates currently	EP: Ivory Loving Glass (2018). No new release since.
Peter Piek	Gnoosic ⭐⭐ 3x (ex.5, 9, 10)	Singer-Songwriter / Indie / Blues-adjacent	http://www.peterpiek.com	https://peterpiek.bandcamp.com	German-based singer-songwriter with 11+ releases on Bandcamp. Eclectic: folk, indie, blues touches. Not a traditional blues artist — engine likely surfaces him on the folk-roots axis. Prolific studio artist with a European following.	No known USA touring	Are You Friends With Me (2022)
Jontavious Willis	Gnoosic ⭐ notable (ex.7)	Acoustic Blues / Delta / Piedmont / Texas Blues	http://jontaviouswillis.com	—	Georgia-born Grammy-nominated multi-style acoustic blues guitarist. Called "Wunderkind" by Taj Mahal; Keb' Mo' protégé. IBC Best Self-Produced CD (2018). Signed to Strolling Bones Records. Self-ambassador mission: reviving traditional blues for new audiences. Delta, Piedmont, Texas, and Gospel styles.	Yes — actively touring USA and internationally; 12+ upcoming dates	West Georgia Blues (Aug 2024, Strolling Bones Records)
Eric Bibb	Gnoosic ⭐ notable (ex.7)	Folk-Blues / Acoustic Blues / Roots	https://www.ericbibb.com	—	New York-born, Stockholm-based folk-blues troubadour. Son of Leon Bibb; godfather Paul Robeson; grew up with Dylan and Pete Seeger visiting. 40+ albums over 5 decades. Three Grammy nominations. Multiple Blues Foundation awards. Acoustic country blues with contemporary social consciousness. Collaborators: Taj Mahal, Mavis Staples, Charlie Musselwhite. New album One Mississippi Jan 2026 via Repute Records.	Yes — tours USA, UK, Europe, Australia; European-based but regular USA dates	One Mississippi (Jan 2026, Repute Records) — just released
Alvin Youngblood Hart	Gnoosic ⭐ notable (ex.7)	Country Blues / Roots / Blues-Rock	http://ayhmusic.com	—	Oakland-born country blues guitarist. Mississippi country blues roots. Grammy-nominated (2003). 1996 Handy Award Best New Blues Artist. "The boy has got thunder in his hands" — Taj Mahal. Wide range: country blues, 60s/70s guitar rock, western swing. Praised by Dylan, Clapton, Mick Taylor. Has Muscle Theory electric band plus solo acoustic. Known as a "musician's musician."	Yes — sporadic USA dates; 2025 Denver and Nashville shows; currently UK touring	No recent studio album identified; last known release mid-2010s
Sister Sparrow & The Dirty Birds	Gnoosic ⭐ notable (ex.8)	Soul / Funk / Rock	https://www.sistersparrow.com	https://sistersparrow.bandcamp.com	Brooklyn seven-piece soul-rock band led by vocalist Arleigh Kincheloe with brother Jackson on harmonica. Bonnaroo, Firefly, Mountain Jam, Austin City Limits, Jazz & Heritage Festival appearances. Opened for Dr. John, Sharon Jones & The Dap-Kings. New album in progress per 2025 fan reports of new songs at live shows. Active USA touring.	Yes — actively touring USA; 2026 Fairfield Hills Music Festival booked	Fowl Play (most recent studio); new album in progress
Indiara Sfair	Gnoosic ⭐ notable (ex.10)	Blues Harmonica / Brazilian Blues	https://harmoniclass.com (teaching); YouTube: youtube.com/c/indiarasfair	—	Brazilian harmonica player and composer based in USA (Nashville). NOTE: primarily a harmonica player, not guitarist — engine surfaced her on the blues axis. Part of blues duo with guitarist Tiago Juk and band Milk'n Blues. Collaborations with Jeff Beck, Buddy Guy, Sugar Blue, Billy Branch. 342K Instagram followers. "Improvisation in C Minor" YouTube video went viral. As of 2024 touring with Dave Stewart's Eurythmics Songbook band.	Yes — USA-based, performs nationally and internationally	No standalone album identified; primarily releases via collaborations and YouTube
Laurence Jones	Gnoosic — new, UK blues guitarist (ex.2)	Blues Rock	https://www.laurencejonesmusic.com	—	English blues-rock guitarist from Liverpool, born 1992. Multiple British Blues Awards including Young Artist of the Year three consecutive years and Guitarist of the Year. #1 UK Jazz & Blues chart with Bad Luck & The Blues (2023). Voted top 10 blues-rock guitarists worldwide by Music Radar. Battling Crohn's disease; pivoting to solo acoustic. New album On My Own (Jan 2026) on his own Ron Records. NOTE: primarily UK/Europe artist; limited USA touring history.	Minimal — primarily UK/Europe. Has played Carnegie Hall NYC.	On My Own (Jan 2026, Ron Records) — just released
Chantel McGregor	Gnoosic — new, UK blues-rock guitarist (ex.2)	Progressive Blues-Rock / Heavy Rock	https://www.chantelmcgregor.com	—	English guitarist from Bradford/Yorkshire. First-class Honours from Leeds College of Music (100% pass mark — first in college history). Multiple British Blues Awards. Toured with Joe Bonamassa. Independent on own Tis Rock Music label. Most recent album The Healing (May 2025) is explicitly prog-rock/heavy rock — has moved significantly away from blues. NOTE: UK/Europe artist; limited USA touring.	Minimal — primarily UK/Europe	The Healing (May 2025, Tis Rock Music)
Debbie Davies	Gnoosic — new, American blues guitarist (ex.3)	Electric Blues / Texas Blues	https://www.debbiedavies.com	—	Los Angeles-born electric blues guitarist and singer. Professional since early 1980s. Guitarist for Albert Collins & The Icebreakers (1988–91). Also played with Maggie Mayall & The Cadillacs and Fingers Taylor & Ladyfinger Revue. 13 solo albums since 1993. Two Blues Music Awards (1997, 2010). Pioneer for women in electric blues guitar. Collaborators: Tab Benoit, Coco Montoya, Charlie Musselwhite, Peter Green, Mick Taylor, Duke Robillard, Tommy Shannon (Double Trouble). Based in USA; continues to record and tour.	Yes — continues to tour USA	Holdin' Court (2009, Vizz Tone) — most recent studio album identified; may have later releases
