Action	Artist	Tier	Notes
ADD	Alicia Keys	Strong	override strong
ADD	Angelique Francis	Strong	seen + research (verify not already there)
ADD	Ariel Posen	Medium	Hamilton Live presale Aug 2026
ADD	Beth Hart	Strong	seen + bandcamp
ADD	Bill Murray and His Blood Brothers	Strong	seen (ticket Jun 2026)
ADD	Billy Gibbons	Strong	seen + VIP
ADD	boygenius	Strong	override strong
ADD	Billy Strings	Strong	bandcamp + 3 sources
ADD	Bonnie Raitt	Strong	seen
ADD	Brittany Howard	Strong	seen
ADD	Bywater Call	Strong	seen (verify not already there)
ADD	Cage the Elephant	Medium	override medium
ADD	Cedric Burnside	Medium	new_artist_research
ADD	Danny Burns	Strong	bandcamp
ADD	Dumpstaphunk	Lower	New Orleans funk
ADD	Eddie 9V	Medium	new_artist_research
ADD	Eric Bibb	Medium	new_artist_research
ADD	Evan Nicole Bell	Lower	local DC artist
ADD	GA-20	Medium	new_artist_research
ADD	Greensky Bluegrass	Strong	seen
ADD	Haggis X-1	Strong	Enter the Haggis successor NOT ON SONGKICK
ADD	Heavy Heavy	Strong	seen + book (verify not already there)
ADD	House of Hamill	Medium	Enter the Haggis successor
ADD	Jaime Wyatt	Medium	bandcamp
ADD	Jake Blount	Strong	seen + bandcamp
ADD	Jared James Nichols	Medium	new_artist_research
ADD	Jax Hollow	Strong	seen + book
ADD	Kaia Kater	Medium	bandcamp
ADD	Kate Davis	Strong	seen 3x + bandcamp
ADD	Kingsley Flood	Strong	seen 5x
ADD	Leyla McCalla	Medium	bandcamp
ADD	Lucinda Williams	Strong	pending buy (verify not already there)
ADD	Lucy Dacus	Medium	override medium
ADD	Mark Knopfler	Strong	override strong
ADD	Marcus King	Strong	seen
ADD	Matteo Mancuso	Strong	seen
ADD	Mavis Staples	Strong	seen (verify not already there)
ADD	Mikaela Davis	Strong	seen + book
ADD	Mohini Dey	Strong	seen
ADD	Molly Tuttle	Lower	support act Jul 2026
ADD	Nat Myers	Medium	new_artist_research
ADD	Oliver Wood	Strong	seen 3x
ADD	Orianthi	Strong	seen (ticket Jun 2026)
ADD	P!nk	Medium	override medium
ADD	Peter Gabriel	Strong	override strong
ADD	Robert Jon & The Wreck	Strong	seen (ticket Jul 2026)
ADD	Sarah McLachlan	Lower	seen once (ticket Jul 2026); follow until after show then drop
ADD	Steve Vai	Strong	seen (ticket May 2026)
ADD	Taj Mahal	Strong	pending buy
ADD	Tal Wilkenfeld	Lower	follow for headline shows
ADD	The Teskey Brothers	Medium	blues-soul
ADD	Tommy Emmanuel	Strong	seen
ADD	Tracy Chapman	Medium	override medium
ADD	Vanessa Collier	Strong	seen 6x (verify not already there)
ADD	Waxahatchee	Medium	override medium
ADD	Whitney Mongé	Medium	bandcamp
ADD	Young Dubliners	Strong	seen (verify SK has Young Dubliners not The Young Dubliners)
REMOVE	Enter the Haggis	N/A	defunct; replace with Haggis X-1 and House of Hamill
REMOVE	D.K. Harrell	N/A	same artist as DK Harrell — keep one, confirm canonical SK entry
ADDED Carly Harvey
ADDED Danielle Ponder
